Step	Training Loss	reward	reward_std	kl	rewards / format_reward / mean	rewards / safety_level_reward / mean	rewards / group_reward / mean
1	0.898500	4.500	0.577	8.743	1.000	2.000	1.500
2	0.081300	4.000	0.000	0.805	1.000	2.000	1.000
3	0.542300	-1.250	3.862	5.596	0.750	-8.000	6.000
4	0.072400	-1.750	3.201	0.977	0.750	-5.000	2.500
5	-0.141300	3.000	2.000	0.659	0.750	1.500	0.750
6	0.235200	4.250	0.500	2.510	1.000	2.000	1.250
7	0.082700	4.250	0.500	0.996	1.000	2.000	1.250
8	0.060700	4.000	0.000	0.613	1.000	2.000	1.000
9	0.307500	4.250	0.500	1.450	1.000	2.000	1.250
10	0.060500	-1.000	4.000	0.605	1.000	-8.000	6.000
11	0.516200	3.000	2.000	1.552	0.750	1.500	0.750
12	0.095100	5.000	0.816	0.692	1.000	2.000	2.000
13	0.110700	4.000	0.000	0.991	1.000	2.000	1.000
14	0.021900	2.500	0.577	0.534	0.500	2.000	0.000
15	0.046400	3.500	1.000	0.649	0.750	2.000	0.750
16	0.056800	4.250	0.500	0.850	1.000	2.000	1.250
17	0.031600	-1.125	3.923	1.912	0.875	-6.000	4.000
18	0.057500	3.750	0.500	0.575	1.000	2.000	0.750
19	0.135300	2.125	2.174	0.989	0.625	1.000	0.500
20	0.089000	2.500	1.732	1.161	1.000	0.500	1.000
21	0.044900	3.125	1.750	0.626	0.875	1.500	0.750
22	0.114200	3.000	2.000	0.692	1.000	1.250	0.750
23	1.028500	2.750	1.892	0.496	0.500	1.500	0.750
24	0.061600	-3.000	2.708	0.598	0.750	-5.000	1.250
25	0.214700	2.825	1.550	1.150	0.875	-1.950	3.900
26	0.050600	4.000	0.000	0.508	0.750	2.000	1.250
27	0.145300	1.525	1.486	0.864	0.625	0.600	0.300
28	0.091300	4.250	0.500	0.787	1.000	2.000	1.250
29	0.119200	3.250	3.201	0.990	0.750	-3.750	6.250
30	0.098000	4.000	0.816	0.801	1.000	2.000	1.000
31	-0.060700	4.250	0.500	0.612	1.000	2.000	1.250
32	0.186800	2.500	2.380	1.517	1.000	0.500	1.000
33	0.120400	5.000	0.816	0.549	1.000	2.000	2.000
34	1.087200	2.125	2.174	8.927	0.625	1.000	0.500
35	-0.071400	2.625	1.493	0.573	0.875	1.500	0.250
36	0.962800	3.250	2.217	6.499	1.000	1.250	1.000
37	-0.592800	3.500	0.577	0.488	0.750	2.000	0.750
38	0.029100	-1.500	5.000	0.744	1.000	-5.000	2.500
39	0.031200	4.000	1.414	0.670	1.000	1.250	1.750
40	-0.021100	3.125	1.750	0.508	0.875	1.500	0.750
41	0.111600	-3.625	5.055	0.993	0.375	-6.000	2.000
42	0.181800	4.500	1.000	0.753	1.000	2.000	1.500
43	0.108100	1.625	1.796	0.769	0.875	0.000	0.750
44	0.056100	2.625	1.493	0.613	0.875	1.500	0.250
45	0.113600	3.500	0.577	0.613	1.000	2.000	0.500
46	0.025300	4.250	0.500	0.478	1.000	2.000	1.250
47	0.067100	5.000	0.000	0.706	1.000	2.000	2.000
48	-0.030800	1.750	1.658	0.669	0.500	1.000	0.250
49	0.074300	4.250	0.957	0.677	1.000	2.000	1.250
50	-0.034200	3.125	1.750	0.510	0.875	1.500	0.750
51	0.125000	3.000	1.414	1.033	1.000	1.250	0.750
52	0.070300	4.250	0.500	0.668	1.000	2.000	1.250
53	0.174400	4.250	0.957	1.094	1.000	2.000	1.250
54	-0.246400	2.750	1.892	0.764	0.750	1.500	0.500
55	0.284000	0.750	0.500	4.101	0.750	-3.750	3.750
56	-0.043000	3.750	0.500	0.436	0.750	2.000	1.000
57	0.996900	-1.500	2.886	2.943	1.000	-5.000	2.500
58	1.080100	3.750	0.957	9.917	1.000	2.000	0.750
59	0.283500	2.750	1.892	2.251	0.750	1.500	0.500
60	0.100900	0.875	0.250	0.961	0.875	-3.750	3.750
61	0.083000	2.175	1.658	0.615	0.875	-1.950	3.250
62	-0.083800	4.000	0.816	0.639	0.750	2.000	1.250
63	0.028700	2.250	2.020	0.671	0.750	1.000	0.500
64	0.045600	-4.000	0.000	0.454	1.000	-5.000	0.000
65	0.056100	1.375	1.796	0.663	0.875	0.000	0.500
66	0.140300	3.500	0.577	0.661	1.000	2.000	0.500
67	0.008600	2.875	1.652	0.736	0.875	1.500	0.500
68	0.104500	3.375	1.973	0.757	0.875	1.500	1.000
69	0.068200	4.000	0.000	0.674	1.000	2.000	1.000
70	-0.533300	2.250	2.061	0.659	0.750	0.750	0.750
71	0.150400	0.875	0.250	0.482	0.875	-1.950	1.950
72	0.112600	1.400	1.616	0.559	0.500	0.600	0.300
73	0.111000	-0.250	2.500	0.565	1.000	-5.000	3.750
74	0.032000	2.250	2.061	0.553	1.000	0.500	0.750
75	0.118600	4.000	0.000	1.225	1.000	2.000	1.000
76	0.162900	3.750	0.957	0.956	1.000	2.000	0.750
77	0.120100	4.250	0.500	0.536	1.000	2.000	1.250
78	0.101600	2.875	1.652	0.606	0.875	1.500	0.500
79	0.147500	2.375	1.887	1.080	0.875	0.750	0.750
80	0.025700	3.750	1.500	1.106	1.000	1.250	1.500
81	0.006100	-1.000	4.000	0.658	1.000	-8.000	6.000
82	0.197700	2.250	2.020	1.221	0.750	1.000	0.500
83	0.416700	2.250	2.020	3.665	0.750	1.000	0.500
84	0.137000	3.250	2.217	1.096	0.750	1.500	1.000
85	-0.125700	3.750	0.500	0.592	1.000	2.000	0.750
86	0.089500	2.625	1.701	0.638	0.875	0.750	1.000
87	0.281800	4.000	0.816	2.535	1.000	2.000	1.000
88	0.200800	3.000	2.000	0.582	1.000	1.250	0.750
89	-0.001300	-3.000	4.618	0.566	1.000	-8.000	4.000
90	0.080900	3.000	1.825	0.880	1.000	0.500	1.500
91	0.492900	3.000	2.000	3.222	0.750	1.500	0.750
92	0.094300	1.625	1.600	0.943	0.875	0.000	0.750
93	0.105800	2.625	1.493	0.570	0.875	1.500	0.250
94	-0.060600	3.500	0.577	0.544	0.750	2.000	0.750
95	-0.087400	3.375	1.973	0.608	0.875	1.500	1.000
96	0.305700	1.500	1.224	0.998	0.750	0.250	0.500
97	0.081900	3.125	1.750	0.652	0.875	1.500	0.750
98	0.002000	2.750	1.892	0.804	1.000	1.250	0.500
99	0.655800	2.125	2.174	0.541	0.625	1.000	0.500
100	0.139200	2.250	2.020	1.006	0.750	1.000	0.500
101	-0.043700	2.125	1.652	0.727	0.875	0.750	0.500
102	-0.021400	1.375	2.428	1.345	0.875	0.000	0.500
103	0.067200	1.000	4.082	1.844	1.000	-5.000	5.000
104	0.016600	3.500	1.290	0.660	1.000	1.250	1.250
105	-0.036900	2.875	1.652	1.227	0.875	1.500	0.500
106	0.477300	2.625	2.212	0.530	0.875	0.750	1.000
107	0.053200	4.000	0.000	0.542	1.000	2.000	1.000
108	0.139200	0.750	6.551	0.848	0.750	-6.000	6.000
109	-0.054900	1.000	3.676	0.516	1.000	-0.650	0.650
110	-0.008700	4.250	0.957	1.454	1.000	2.000	1.250
111	-0.050500	2.750	1.892	0.601	0.750	1.500	0.500
112	0.051000	4.750	8.539	0.645	1.000	-1.250	5.000
113	0.249000	2.125	2.174	0.570	0.875	0.750	0.500
114	-0.029500	3.125	1.750	0.531	0.875	1.500	0.750
115	-0.055400	3.000	2.000	0.717	1.000	1.250	0.750
116	0.006600	3.000	1.414	0.517	0.750	1.250	1.000
117	0.225400	4.250	0.500	0.733	1.000	2.000	1.250
118	0.021300	2.625	2.750	0.918	0.625	1.000	1.000
119	0.062600	-3.125	4.479	1.085	0.875	-6.000	2.000
120	0.076900	4.250	0.500	0.911	1.000	2.000	1.250
121	0.033700	4.750	0.957	1.325	1.000	2.000	1.750
122	1.952700	2.000	2.309	15.865	1.000	0.500	0.500
123	0.097500	3.750	0.500	0.654	1.000	2.000	0.750
124	-0.206400	5.000	4.618	0.565	1.000	-8.000	12.000
125	0.124900	4.250	0.500	0.559	1.000	2.000	1.250
126	0.031000	3.000	2.160	0.691	1.000	1.250	0.750
127	0.110300	1.125	1.931	0.951	0.875	0.000	0.250
128	0.256500	1.625	1.600	0.445	0.875	0.750	0.000
129	0.206400	3.250	1.500	1.480	1.000	1.250	1.000
130	0.283000	2.875	3.065	1.252	0.875	0.750	1.250
131	1.086500	2.500	1.732	0.948	0.500	1.500	0.500
132	0.226600	4.000	0.816	0.707	1.000	2.000	1.000
133	-0.065600	3.875	2.250	1.343	0.875	1.500	1.500
134	-0.060500	0.375	0.479	1.072	0.375	-2.000	2.000
135	0.862900	3.250	1.500	0.442	1.000	1.250	1.000
136	0.161000	3.250	2.500	0.520	1.000	1.250	1.000
137	-0.006500	3.500	1.000	0.888	1.000	2.000	0.500
138	0.066100	-3.000	4.618	0.835	1.000	-8.000	4.000
139	0.067900	3.250	2.363	0.603	1.000	1.250	1.000
140	-0.091800	2.750	2.062	0.824	1.000	1.250	0.500
141	0.369800	1.875	1.931	0.652	0.875	0.750	0.250
142	0.048900	1.000	5.774	0.738	1.000	-5.000	5.000
143	0.081300	1.625	2.250	0.521	0.625	0.500	0.500
144	0.017300	1.375	1.109	0.565	0.875	0.000	0.500
145	-0.168000	3.375	1.974	0.598	0.875	1.500	1.000
146	0.866500	3.000	2.000	0.739	0.750	1.500	0.750
147	0.215100	3.875	2.250	0.517	0.875	1.500	1.500
148	-0.218900	3.000	2.000	0.539	0.750	1.500	0.750
149	-0.458500	-3.500	4.041	2.223	0.500	-4.000	0.000
150	0.239300	3.500	0.577	1.738	1.000	2.000	0.500
